Week,Cough: (United States),WEEK
5/25/14,38,22
6/1/14,37,23
6/8/14,34,24
6/15/14,38,25
6/22/14,34,26
6/29/14,32,27
7/6/14,31,28
7/13/14,30,29
7/20/14,29,30
7/27/14,29,31
8/3/14,30,32
8/10/14,28,33
8/17/14,30,34
8/24/14,31,35
8/31/14,34,36
9/7/14,37,37
9/14/14,39,38
9/21/14,38,39
9/28/14,40,40
10/5/14,41,41
10/12/14,42,42
10/19/14,43,43
10/26/14,43,44
11/2/14,44,45
11/9/14,47,46
11/16/14,48,47
11/23/14,52,48
11/30/14,54,49
12/7/14,57,50
12/14/14,63,51
12/21/14,75,52
12/28/14,74,53
1/4/15,64,1
1/11/15,58,2
1/18/15,60,3
1/25/15,60,4
2/1/15,57,5
2/8/15,56,6
2/15/15,55,7
2/22/15,51,8
3/1/15,50,9
3/8/15,52,10
3/15/15,51,11
3/22/15,50,12
3/29/15,49,13
4/5/15,48,14
4/12/15,47,15
4/19/15,44,16
4/26/15,43,17
5/3/15,43,18
5/10/15,41,19
5/17/15,41,20
5/24/15,41,21
5/31/15,38,22
6/7/15,39,23
6/14/15,36,24
6/21/15,35,25
6/28/15,33,26
7/5/15,33,27
7/12/15,32,28
7/19/15,32,29
7/26/15,31,30
8/2/15,31,31
8/9/15,32,32
8/16/15,33,33
8/23/15,34,34
8/30/15,35,35
9/6/15,38,36
9/13/15,42,37
9/20/15,42,38
9/27/15,43,39
10/4/15,46,40
10/11/15,48,41
10/18/15,50,42
10/25/15,49,43
11/1/15,51,44
11/8/15,54,45
11/15/15,56,46
11/22/15,57,47
11/29/15,55,48
12/6/15,56,49
12/13/15,59,50
12/20/15,65,51
12/27/15,70,52
1/3/16,64,1
1/10/16,60,2
1/17/16,61,3
1/24/16,61,4
1/31/16,60,5
2/7/16,62,6
2/14/16,66,7
2/21/16,65,8
2/28/16,61,9
3/6/16,62,10
3/13/16,59,11
3/20/16,55,12
3/27/16,53,13
4/3/16,51,14
4/10/16,49,15
4/17/16,48,16
4/24/16,46,17
5/1/16,43,18
5/8/16,44,19
5/15/16,44,20
5/22/16,43,21
5/29/16,43,22
6/5/16,40,23
6/12/16,36,24
6/19/16,36,25
6/26/16,36,26
7/3/16,34,27
7/10/16,33,28
7/17/16,32,29
7/24/16,34,30
7/31/16,32,31
8/7/16,32,32
8/14/16,32,33
8/21/16,36,34
8/28/16,38,35
9/4/16,55,36
9/11/16,47,37
9/18/16,45,38
9/25/16,48,39
10/2/16,46,40
10/9/16,47,41
10/16/16,48,42
10/23/16,49,43
10/30/16,49,44
11/6/16,51,45
11/13/16,58,46
11/20/16,57,47
11/27/16,60,48
12/4/16,58,49
12/11/16,61,50
12/18/16,71,51
12/25/16,77,52
1/1/17,76,1
1/8/17,70,2
1/15/17,67,3
1/22/17,66,4
1/29/17,68,5
2/5/17,71,6
2/12/17,68,7
2/19/17,68,8
2/26/17,61,9
3/5/17,59,10
3/12/17,60,11
3/19/17,59,12
3/26/17,58,13
4/2/17,55,14
4/9/17,54,15
4/16/17,51,16
4/23/17,49,17
4/30/17,48,18
5/7/17,49,19
5/14/17,49,20
5/21/17,47,21
5/28/17,46,22
6/4/17,44,23
6/11/17,42,24
6/18/17,40,25
6/25/17,39,26
7/2/17,38,27
7/9/17,36,28
7/16/17,37,29
7/23/17,36,30
7/30/17,36,31
8/6/17,37,32
8/13/17,37,33
8/20/17,37,34
8/27/17,40,35
9/3/17,44,36
9/10/17,45,37
9/17/17,47,38
9/24/17,49,39
10/1/17,47,40
10/8/17,50,41
10/15/17,52,42
10/22/17,54,43
10/29/17,57,44
11/5/17,61,45
11/12/17,65,46
11/19/17,68,47
11/26/17,70,48
12/3/17,68,49
12/10/17,72,50
12/17/17,86,51
12/24/17,100,52
12/31/17,98,1
1/7/18,88,2
1/14/18,83,3
1/21/18,83,4
1/28/18,81,5
2/4/18,82,6
2/11/18,79,7
2/18/18,70,8
2/25/18,64,9
3/4/18,62,10
3/11/18,61,11
3/18/18,61,12
3/25/18,60,13
4/1/18,57,14
4/8/18,53,15
4/15/18,53,16
4/22/18,53,17
4/29/18,51,18
5/6/18,50,19
5/13/18,51,20
5/20/18,50,21
5/27/18,51,22
6/3/18,47,23
6/10/18,45,24
6/17/18,42,25
6/24/18,41,26
7/1/18,40,27
7/8/18,39,28
7/15/18,38,29
7/22/18,37,30
7/29/18,36,31
8/5/18,37,32
8/12/18,38,33
8/19/18,39,34
8/26/18,43,35
9/2/18,46,36
9/9/18,47,37
9/16/18,50,38
9/23/18,57,39
9/30/18,52,40
10/7/18,53,41
10/14/18,55,42
10/21/18,56,43
10/28/18,59,44
11/4/18,61,45
11/11/18,65,46
11/18/18,69,47
11/25/18,70,48
12/2/18,73,49
12/9/18,76,50
12/16/18,82,51
12/23/18,94,52
12/30/18,91,1
1/6/19,79,2
1/13/19,74,3
1/20/19,75,4
1/27/19,75,5
2/3/19,77,6
2/10/19,75,7
2/17/19,77,8
2/24/19,73,9
3/3/19,74,10
3/10/19,72,11
3/17/19,74,12
3/24/19,71,13
3/31/19,66,14
4/7/19,62,15
4/14/19,60,16
4/21/19,58,17
4/28/19,57,18
5/5/19,58,19
5/12/19,57,20
5/19/19,58,21
5/26/19,56,22
6/2/19,52,23
6/9/19,49,24
6/16/19,50,25
6/23/19,47,26
6/30/19,43,27
