Week,Oseltamivir: (United States),WEEK
12/6/15,3,49
12/13/15,3,50
12/20/15,4,51
12/27/15,4,52
1/3/16,4,1
1/10/16,3,2
1/17/16,4,3
1/24/16,4,4
1/31/16,6,5
2/7/16,7,6
2/14/16,10,7
2/21/16,13,8
2/28/16,14,9
3/6/16,16,10
3/13/16,13,11
3/20/16,11,12
3/27/16,9,13
4/3/16,7,14
4/10/16,6,15
4/17/16,5,16
4/24/16,4,17
5/1/16,3,18
5/8/16,2,19
5/15/16,2,20
5/22/16,1,21
5/29/16,1,22
6/5/16,1,23
6/12/16,1,24
6/19/16,1,25
6/26/16,1,26
7/3/16,1,27
7/10/16,1,28
7/17/16,1,29
7/24/16,1,30
7/31/16,1,31
8/7/16,<1,32
8/14/16,1,33
8/21/16,1,34
8/28/16,1,35
9/4/16,1,36
9/11/16,1,37
9/18/16,2,38
9/25/16,1,39
10/2/16,2,40
10/9/16,1,41
10/16/16,2,42
10/23/16,2,43
10/30/16,2,44
11/6/16,2,45
11/13/16,2,46
11/20/16,2,47
11/27/16,2,48
12/4/16,3,49
12/11/16,4,50
12/18/16,7,51
12/25/16,8,52
1/1/17,9,1
1/8/17,10,2
1/15/17,12,3
1/22/17,13,4
1/29/17,17,5
2/5/17,22,6
2/12/17,22,7
2/19/17,22,8
2/26/17,15,9
3/5/17,14,10
3/12/17,12,11
3/19/17,13,12
3/26/17,11,13
4/2/17,8,14
4/9/17,6,15
4/16/17,4,16
4/23/17,3,17
4/30/17,2,18
5/7/17,2,19
5/14/17,2,20
5/21/17,2,21
5/28/17,1,22
6/4/17,1,23
6/11/17,1,24
6/18/17,1,25
6/25/17,1,26
7/2/17,1,27
7/9/17,1,28
7/16/17,1,29
7/23/17,1,30
7/30/17,1,31
8/6/17,1,32
8/13/17,1,33
8/20/17,1,34
8/27/17,1,35
9/3/17,1,36
9/10/17,2,37
9/17/17,2,38
9/24/17,2,39
10/1/17,2,40
10/8/17,2,41
10/15/17,2,42
10/22/17,3,43
10/29/17,3,44
11/5/17,4,45
11/12/17,4,46
11/19/17,4,47
11/26/17,5,48
12/3/17,7,49
12/10/17,11,50
12/17/17,26,51
12/24/17,32,52
12/31/17,37,1
1/7/18,53,2
1/14/18,63,3
1/21/18,80,4
1/28/18,100,5
2/4/18,81,6
2/11/18,74,7
2/18/18,44,8
2/25/18,26,9
3/4/18,18,10
3/11/18,15,11
3/18/18,12,12
3/25/18,13,13
4/1/18,9,14
4/8/18,7,15
4/15/18,5,16
4/22/18,4,17
4/29/18,4,18
5/6/18,3,19
5/13/18,2,20
5/20/18,2,21
5/27/18,2,22
6/3/18,2,23
6/10/18,1,24
6/17/18,1,25
6/24/18,1,26
7/1/18,2,27
7/8/18,2,28
7/15/18,1,29
7/22/18,1,30
7/29/18,1,31
8/5/18,1,32
8/12/18,1,33
8/19/18,1,34
8/26/18,1,35
9/2/18,2,36
9/9/18,2,37
9/16/18,2,38
9/23/18,2,39
9/30/18,3,40
10/7/18,3,41
10/14/18,3,42
10/21/18,4,43
10/28/18,4,44
11/4/18,4,45
11/11/18,4,46
11/18/18,5,47
11/25/18,5,48
12/2/18,5,49
12/9/18,7,50
12/16/18,12,51
12/23/18,15,52
12/30/18,14,1
1/6/19,14,2
1/13/19,16,3
1/20/19,19,4
1/27/19,24,5
2/3/19,30,6
2/10/19,31,7
2/17/19,31,8
2/24/19,27,9
3/3/19,25,10
3/10/19,26,11
3/17/19,21,12
3/24/19,16,13
3/31/19,12,14
4/7/19,9,15
4/14/19,7,16
4/21/19,5,17
4/28/19,4,18
5/5/19,3,19
5/12/19,3,20
5/19/19,2,21
5/26/19,2,22
6/2/19,2,23
6/9/19,2,24
6/16/19,2,25
6/23/19,2,26
6/30/19,1,27
