,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop,YEAR,WEEK,Total Cases
668,2017-12-31,22.288391666666666,46.4285731958763,416.57199999999995,9.2860625,13.818641237113399,18.666857142857143,26.57150909090909,2018.0,1.0,15553.0
669,2018-01-07,28.2891125,71.96428845360825,365.1433580246914,14.524354166666667,20.727961855670106,34.66702040816326,51.42872727272727,2018.0,2.0,18395.0
670,2018-01-14,32.57534166666666,91.69643206185567,406.2862716049383,18.334020833333334,28.3645793814433,42.667102040816324,70.28592727272728,2018.0,3.0,18687.0
671,2018-01-21,37.29019375,105.62500402061855,401.1434074074074,21.429375,33.09200927835051,48.88938775510204,83.14310909090909,2018.0,4.0,21984.0
672,2018-01-28,41.1478,112.58928999999999,416.57199999999995,22.858,35.2739,50.66718367346938,84.8574,2018.0,5.0,22108.0
673,2018-02-04,35.57570208333333,99.82143237113401,390.85767901234567,19.524541666666668,31.27376701030927,31.111428571428572,66.85734545454545,2018.0,6.0,21974.0
674,2018-02-11,29.57498125,81.2500030927835,334.2861728395062,15.952979166666665,26.546337113402057,26.6669387755102,54.00016363636364,2018.0,7.0,19581.0
675,2018-02-18,21.43114583333333,48.75000185567011,236.5717530864197,9.524166666666668,16.000531958762885,11.555673469387756,24.85721818181818,2018.0,8.0,13577.0
676,2018-02-25,15.859047916666665,30.17857257731959,169.71451851851853,5.952604166666667,9.454859793814432,7.1111836734693865,12.857181818181818,2018.0,9.0,8964.0
677,2018-03-04,12.001441666666668,20.892857938144328,154.2859259259259,4.047770833333334,6.1820237113402055,4.4444897959183685,11.14289090909091,2018.0,10.0,6431.0
678,2018-03-11,9.858327083333332,16.2500006185567,133.71446913580246,3.095354166666666,4.727429896907216,3.5555918367346933,6.857163636363637,2018.0,11.0,5733.0
679,2018-03-18,8.572458333333334,15.089286288659794,123.42874074074074,2.619145833333333,3.6364845360824734,2.6666938775510203,8.571454545454545,2018.0,12.0,5126.0
680,2018-03-25,9.858327083333332,13.928571958762886,113.143012345679,2.619145833333333,3.6364845360824734,2.6666938775510203,6.857163636363637,2018.0,13.0,4635.0
681,2018-04-01,7.7152125,11.607143298969074,97.71441975308643,2.1429375,2.9091876288659786,2.6666938775510203,4.2857272727272715,2018.0,14.0,3469.0
682,2018-04-08,6.429343749999999,9.285714639175255,87.42869135802471,1.6667291666666668,2.1818907216494843,1.7777959183673466,6.000018181818183,2018.0,15.0,2818.0
683,2018-04-15,5.143475,6.964285979381443,82.28582716049381,1.1905208333333337,1.8182422680412367,1.7777959183673466,3.4285818181818186,2018.0,16.0,2019.0
684,2018-04-22,4.714852083333333,5.803571649484537,66.85723456790123,1.1905208333333337,1.4545938144329895,0.8888979591836733,3.4285818181818186,2018.0,17.0,1546.0
685,2018-04-29,3.428983333333333,4.642857319587629,61.71437037037037,0.9524166666666668,1.090945360824742,1.7777959183673466,3.4285818181818186,2018.0,18.0,1070.0
686,2018-05-06,3.000360416666666,3.4821429896907214,51.428641975308636,0.7143125,0.7272969072164948,0.8888979591836733,3.4285818181818186,2018.0,19.0,658.0
687,2018-05-13,2.1431145833333334,2.3214286597938143,46.285777777777774,0.4762083333333333,0.7272969072164948,0.8888979591836733,2.5714363636363635,2018.0,20.0,412.0
688,2018-05-20,1.7144916666666663,2.3214286597938143,51.428641975308636,0.4762083333333333,0.3636484536082474,0.8888979591836733,1.7142909090909093,2018.0,21.0,282.0
689,2018-05-27,0.8572458333333333,2.3214286597938143,51.428641975308636,0.4762083333333333,0.3636484536082474,0.8888979591836733,1.7142909090909093,2018.0,22.0,165.0
690,2018-06-03,0.8572458333333333,2.3214286597938143,41.142913580246905,0.4762083333333333,0.3636484536082474,0.8888979591836733,0.8571454545454547,2018.0,23.0,153.0
691,2018-06-10,1.28586875,2.3214286597938143,41.142913580246905,0.2381041666666667,0.0,0.8888979591836733,1.7142909090909093,2018.0,24.0,116.0
692,2018-06-17,0.8572458333333333,1.1607143298969071,30.857185185185184,0.2381041666666667,0.0,0.8888979591836733,1.7142909090909093,2018.0,25.0,87.0
693,2018-06-24,0.4286229166666666,1.1607143298969071,25.714320987654318,0.0,0.0,0.0,0.8571454545454547,2018.0,26.0,86.0
694,2018-07-01,0.0,1.1607143298969071,30.857185185185184,0.0,0.0,0.0,0.8571454545454547,2018.0,27.0,69.0
695,2018-07-08,0.4286229166666666,1.1607143298969071,25.714320987654318,0.2381041666666667,0.0,0.8888979591836733,1.7142909090909093,2018.0,28.0,64.0
