,index,YEAR,WEEK,Total Cases,index,influenza st,Influenza dis,Common Cold dis,flu st,flu symptoms st,Influenza Vaccine vacc,prevent flu st,Hand sanitizer topic,Oseltamivir med,Oseltamivir st,tamiflu st,pneumonia st,Fever medcond,tylenol st,chills st,Nasal Congestion syndrome,Cough topic,Cold medicine topic,Antibiotics drugtype,Antimicrobial resistance topic,Ibuprofen med,immunity st,Immunity topic,Swine influenza topic,flu medicine st
335,338,2011.0,36.0,13.0,335,1.5238095238095235,2.8571428571428568,42.0,0.5714285714285714,0.7272727272727273,2.6666666666666665,2.0,15.75,0.4,0.35714285714285715,0.3333333333333333,42.16666666666666,66.42857142857143,33.95238095238095,101.57142857142857,56.47368421052632,60.769230769230774,42.70588235294117,85.76,5.142857142857143,114.42857142857143,40.90909090909091,36.6,0.08163265306122447,2.3076923076923075
336,339,2011.0,37.0,21.0,336,1.7142857142857142,3.571428571428572,44.0,0.7142857142857143,0.7272727272727273,3.333333333333333,0.5,13.5,0.2,0.7857142857142857,0.3333333333333333,40.888888888888886,67.9047619047619,31.0,106.08571428571429,60.368421052631575,66.84615384615384,44.647058823529406,80.64,4.285714285714286,119.87755102040815,47.72727272727273,37.47142857142857,0.08163265306122447,2.769230769230769
337,340,2011.0,38.0,21.0,337,2.095238095238096,4.285714285714286,48.0,0.8571428571428571,0.9090909090909092,5.333333333333333,1.5,14.625,0.4,0.6785714285714286,0.3333333333333333,46.0,67.9047619047619,29.523809523809533,101.57142857142857,70.10526315789474,62.794871794871796,48.529411764705884,88.32,6.0,108.9795918367347,47.72727272727273,42.7,0.1020408163265306,1.8461538461538465
338,341,2011.0,39.0,35.0,338,2.2857142857142856,5.7142857142857135,58.0,1.1428571428571428,1.0909090909090908,8.0,2.0,15.75,0.4,0.3928571428571429,0.3333333333333333,49.83333333333334,69.3809523809524,32.476190476190474,108.34285714285713,77.89473684210526,68.87179487179488,58.235294117647065,85.76,6.0,114.42857142857143,50.45454545454545,44.44285714285714,0.12244897959183673,2.769230769230769
339,342,2011.0,40.0,33.0,339,2.8571428571428568,7.142857142857142,68.0,1.5714285714285714,1.2727272727272727,12.666666666666664,4.5,16.875,0.4,0.35714285714285715,0.6666666666666666,58.77777777777778,72.33333333333333,33.95238095238095,101.57142857142857,83.73684210526315,72.92307692307692,69.88235294117646,92.16,8.142857142857142,119.87755102040815,66.81818181818181,54.9,0.16326530612244894,4.153846153846153
340,343,2011.0,41.0,19.0,340,3.4285714285714284,9.285714285714286,74.0,1.8571428571428568,1.6363636363636365,16.0,3.0,15.75,0.4,0.5,0.6666666666666666,65.16666666666667,73.80952380952381,35.42857142857143,92.54285714285713,93.47368421052632,97.23076923076924,77.6470588235294,96.0,8.571428571428571,123.51020408163264,70.9090909090909,57.514285714285705,0.14285714285714285,4.615384615384615
341,344,2011.0,42.0,28.0,341,3.619047619047618,10.0,72.0,2.0,1.6363636363636365,18.0,3.0,18.0,0.4,0.8928571428571429,0.6666666666666666,66.44444444444444,72.33333333333333,36.904761904761905,97.05714285714286,83.73684210526315,91.15384615384615,83.47058823529412,94.72,10.285714285714286,119.87755102040815,65.45454545454545,56.64285714285714,0.12244897959183673,4.615384615384615
342,345,2011.0,43.0,44.0,342,3.619047619047618,12.142857142857142,78.0,2.4285714285714284,2.0,23.33333333333333,3.5,15.75,0.4,0.21428571428571427,0.6666666666666666,69.0,70.85714285714286,33.95238095238095,103.82857142857141,81.78947368421052,89.12820512820512,73.76470588235293,94.72,10.285714285714286,118.06122448979592,68.18181818181819,57.514285714285705,0.1020408163265306,7.384615384615384
343,346,2011.0,44.0,39.0,343,3.4285714285714284,11.428571428571427,70.0,2.4285714285714284,1.8181818181818181,23.33333333333333,5.5,16.875,0.6,0.6428571428571429,1.0,70.27777777777777,76.76190476190476,35.42857142857143,112.85714285714286,83.73684210526315,91.15384615384615,79.58823529411767,97.28,10.714285714285714,119.87755102040815,70.9090909090909,58.38571428571429,0.12244897959183673,4.153846153846153
344,347,2011.0,45.0,49.0,344,3.619047619047618,11.428571428571427,76.0,2.2857142857142856,2.1818181818181817,21.33333333333333,3.5,15.75,0.6,0.5357142857142857,0.3333333333333333,75.3888888888889,75.28571428571429,32.476190476190474,110.6,79.84210526315789,93.17948717948721,79.58823529411767,93.44,11.142857142857142,119.87755102040815,79.0909090909091,60.12857142857143,0.12244897959183673,6.461538461538463
345,348,2011.0,46.0,44.0,345,3.4285714285714284,10.714285714285714,76.0,2.2857142857142856,2.0,20.0,3.0,15.75,0.4,0.5,0.6666666666666666,83.05555555555556,73.80952380952381,35.42857142857143,101.57142857142857,79.84210526315789,99.25641025641028,83.47058823529412,97.28,9.857142857142858,110.79591836734691,70.9090909090909,55.771428571428565,0.12244897959183673,6.9230769230769225
346,349,2011.0,47.0,75.0,346,3.4285714285714284,9.285714285714286,84.0,1.8571428571428568,2.0,14.0,3.0,14.625,0.6,0.5357142857142857,0.6666666666666666,80.5,75.28571428571429,33.95238095238095,103.82857142857141,83.73684210526315,101.28205128205127,91.23529411764706,99.84,12.857142857142858,116.24489795918369,68.18181818181819,58.38571428571429,0.12244897959183673,6.0
347,350,2011.0,48.0,72.0,347,3.4285714285714284,8.571428571428571,84.0,1.7142857142857142,2.0,12.0,3.0,15.75,0.4,0.42857142857142855,1.0,88.16666666666669,73.80952380952381,33.95238095238095,106.08571428571429,87.63157894736842,107.35897435897436,91.23529411764706,94.72,11.142857142857142,118.06122448979592,81.81818181818181,60.12857142857143,0.12244897959183673,8.76923076923077
348,351,2011.0,49.0,108.0,348,3.4285714285714284,7.857142857142858,88.0,1.7142857142857142,2.1818181818181817,10.0,5.5,16.875,0.6,0.42857142857142855,1.0,90.72222222222223,76.76190476190476,35.42857142857143,112.85714285714286,85.6842105263158,107.35897435897436,95.11764705882356,103.68,12.428571428571427,114.42857142857143,136.36363636363637,81.04285714285714,0.12244897959183673,7.8461538461538485
349,352,2011.0,50.0,133.0,349,2.6666666666666665,6.428571428571429,78.0,1.4285714285714286,1.8181818181818181,6.666666666666668,3.0,14.625,0.6,0.6071428571428571,1.0,80.5,75.28571428571429,36.904761904761905,110.6,85.6842105263158,107.35897435897436,99.0,93.44,7.2857142857142865,119.87755102040815,109.0909090909091,64.48571428571428,0.1020408163265306,6.461538461538463
350,353,2011.0,51.0,197.0,350,3.4285714285714284,7.142857142857142,86.0,1.5714285714285714,2.1818181818181817,7.333333333333332,3.5,16.875,0.6,0.4642857142857143,1.0,90.72222222222223,73.80952380952381,35.42857142857143,110.6,93.47368421052632,111.41025641025641,100.94117647058823,98.56,13.714285714285715,108.9795918367347,106.36363636363636,74.07142857142857,0.12244897959183673,7.8461538461538485
351,354,2011.0,52.0,182.0,351,3.0476190476190474,6.428571428571429,88.0,1.4285714285714286,2.1818181818181817,6.0,4.5,16.875,0.8,1.0,1.0,85.6111111111111,70.85714285714286,32.476190476190474,106.08571428571429,85.6842105263158,103.30769230769228,93.17647058823529,98.56,12.0,110.79591836734691,96.8181818181818,67.1,0.12244897959183673,5.538461538461538
352,355,2012.0,1.0,183.0,352,2.4761904761904763,6.428571428571429,92.0,1.4285714285714286,2.1818181818181817,5.333333333333333,4.5,15.75,0.8,0.3928571428571429,1.0,83.05555555555556,73.80952380952381,33.95238095238095,115.11428571428571,97.36842105263158,107.35897435897436,97.05882352941177,92.16,8.571428571428571,110.79591836734691,87.27272727272727,63.61428571428571,0.12244897959183673,6.0
353,356,2012.0,2.0,235.0,353,2.095238095238096,5.7142857142857135,96.0,1.5714285714285714,2.1818181818181817,4.0,4.0,15.75,0.8,0.21428571428571427,1.3333333333333333,84.33333333333333,72.33333333333333,33.95238095238095,117.37142857142857,109.05263157894736,109.3846153846154,106.76470588235294,92.16,3.0,116.24489795918369,70.9090909090909,49.671428571428564,0.12244897959183673,10.615384615384617
354,357,2012.0,3.0,320.0,354,1.7142857142857142,6.428571428571429,108.0,1.5714285714285714,2.727272727272727,3.333333333333333,4.0,12.375,0.6,0.5357142857142857,1.0,89.44444444444444,78.23809523809524,38.38095238095238,135.42857142857142,124.63157894736842,117.48717948717949,126.17647058823529,93.44,4.714285714285714,118.06122448979592,96.8181818181818,61.0,0.12244897959183673,9.692307692307693
355,358,2012.0,4.0,473.0,355,2.6666666666666665,6.428571428571429,108.0,1.5714285714285714,2.5454545454545454,4.0,3.0,15.75,0.6,0.6071428571428571,1.0,94.55555555555556,79.71428571428571,38.38095238095238,128.65714285714284,118.78947368421049,119.51282051282051,116.47058823529413,97.28,5.142857142857143,119.87755102040815,90.0,64.48571428571428,0.12244897959183673,8.307692307692307
356,359,2012.0,5.0,680.0,356,2.6666666666666665,5.7142857142857135,92.0,1.4285714285714286,2.1818181818181817,4.0,4.0,16.875,0.8,0.5,1.0,89.44444444444444,76.76190476190476,35.42857142857143,121.88571428571429,103.21052631578951,111.41025641025641,91.23529411764706,98.56,6.0,118.06122448979592,83.18181818181819,61.0,0.12244897959183673,6.9230769230769225
357,360,2012.0,6.0,809.0,357,2.4761904761904763,5.7142857142857135,94.0,1.4285714285714286,2.1818181818181817,3.333333333333333,4.5,16.875,0.6,0.2857142857142857,1.0,85.6111111111111,79.71428571428571,35.42857142857143,121.88571428571429,109.05263157894736,105.33333333333331,99.0,94.72,6.428571428571429,121.6938775510204,76.36363636363636,63.61428571428571,0.1020408163265306,7.8461538461538485
358,361,2012.0,7.0,1083.0,358,3.0476190476190474,5.7142857142857135,90.0,1.4285714285714286,2.1818181818181817,3.333333333333333,3.0,16.875,0.8,0.3928571428571429,1.3333333333333333,88.16666666666669,82.66666666666667,36.904761904761905,121.88571428571429,107.10526315789473,109.3846153846154,95.11764705882356,102.4,9.857142857142858,121.6938775510204,79.0909090909091,61.0,0.14285714285714285,6.0
359,362,2012.0,8.0,1443.0,359,3.4285714285714284,5.7142857142857135,92.0,1.4285714285714286,2.1818181818181817,2.6666666666666665,4.0,16.875,1.2,0.5714285714285714,1.6666666666666667,86.88888888888891,85.61904761904762,36.904761904761905,137.68571428571428,103.21052631578951,113.43589743589745,93.17647058823529,97.28,11.142857142857142,125.32653061224492,87.27272727272727,65.35714285714286,0.14285714285714285,9.23076923076923
360,363,2012.0,9.0,2021.0,360,3.8095238095238084,5.7142857142857135,92.0,1.2857142857142858,2.363636363636364,2.0,3.5,15.75,1.2,0.7142857142857143,1.6666666666666667,92.0,87.09523809523809,36.904761904761905,130.9142857142857,114.89473684210527,115.46153846153848,99.0,103.68,12.0,123.51020408163264,94.0909090909091,68.84285714285714,0.12244897959183673,6.0
361,364,2012.0,10.0,2384.0,361,4.190476190476192,7.142857142857142,96.0,1.5714285714285714,2.5454545454545454,2.0,5.0,14.625,1.2,0.9285714285714286,2.0,90.72222222222223,87.09523809523809,42.80952380952381,133.17142857142858,111.0,111.41025641025641,95.11764705882356,106.24,11.571428571428573,121.6938775510204,87.27272727272727,66.22857142857143,0.12244897959183673,9.692307692307693
362,365,2012.0,11.0,2710.0,362,4.190476190476192,7.142857142857142,94.0,1.5714285714285714,2.5454545454545454,2.0,3.5,15.75,1.6,0.6428571428571429,2.333333333333333,93.27777777777777,93.0,42.80952380952381,146.71428571428572,118.78947368421049,125.58974358974359,114.52941176470587,110.08,10.714285714285714,127.14285714285714,88.63636363636364,66.22857142857143,0.14285714285714285,8.307692307692307
363,366,2012.0,12.0,2195.0,363,4.380952380952381,7.142857142857142,88.0,1.5714285714285714,2.363636363636364,2.0,5.0,15.75,2.0,0.5,3.0,93.27777777777777,88.57142857142857,36.904761904761905,135.42857142857142,105.15789473684212,113.43589743589745,100.94117647058823,108.8,8.571428571428571,125.32653061224492,81.81818181818181,69.71428571428571,0.14285714285714285,7.8461538461538485
364,367,2012.0,13.0,1606.0,364,4.9523809523809526,7.142857142857142,84.0,1.4285714285714286,2.5454545454545454,2.0,4.5,15.75,2.0,0.8571428571428571,3.0,89.44444444444444,94.4761904761905,35.42857142857143,139.94285714285715,103.21052631578951,109.3846153846154,89.29411764705883,103.68,12.0,125.32653061224492,76.36363636363636,65.35714285714286,0.12244897959183673,7.8461538461538485
365,368,2012.0,14.0,1478.0,365,4.761904761904762,6.428571428571429,76.0,1.4285714285714286,2.363636363636364,2.0,3.5,13.5,2.0,0.32142857142857145,3.6666666666666665,86.88888888888891,95.95238095238096,35.42857142857143,119.62857142857143,93.47368421052632,103.30769230769228,77.6470588235294,103.68,9.857142857142858,123.51020408163264,77.72727272727273,63.61428571428571,0.14285714285714285,6.9230769230769225
366,369,2012.0,15.0,1289.0,366,4.0,5.7142857142857135,64.0,1.1428571428571428,2.0,2.0,3.0,15.75,1.8,0.7857142857142857,2.6666666666666665,83.05555555555556,93.0,35.42857142857143,130.9142857142857,87.63157894736842,99.25641025641028,75.70588235294117,106.24,11.142857142857142,121.6938775510204,75.0,65.35714285714286,0.12244897959183673,5.538461538461538
367,370,2012.0,16.0,1174.0,367,4.0,5.0,62.0,1.0,1.6363636363636365,1.3333333333333333,2.0,14.625,1.2,0.7857142857142857,2.0,75.3888888888889,85.61904761904762,33.95238095238095,133.17142857142858,87.63157894736842,91.15384615384615,66.0,104.96,10.285714285714286,121.6938775510204,90.0,67.1,0.12244897959183673,7.384615384615384
368,371,2012.0,17.0,860.0,368,3.0476190476190474,5.0,62.0,1.0,1.4545454545454546,0.6666666666666666,2.0,13.5,1.0,0.5714285714285714,1.6666666666666667,69.0,81.19047619047619,35.42857142857143,128.65714285714284,89.57894736842104,105.33333333333331,71.82352941176471,98.56,9.428571428571429,116.24489795918369,73.63636363636364,59.25714285714286,0.1020408163265306,4.153846153846153
369,372,2012.0,18.0,723.0,369,3.238095238095238,4.285714285714286,66.0,1.0,1.6363636363636365,1.3333333333333333,3.5,14.625,1.0,0.8928571428571429,1.6666666666666667,72.83333333333333,87.09523809523809,36.904761904761905,137.68571428571428,91.52631578947368,105.33333333333331,71.82352941176471,101.12,11.142857142857142,119.87755102040815,83.18181818181819,67.1,0.1020408163265306,5.0769230769230775
370,373,2012.0,19.0,616.0,370,3.0476190476190474,4.285714285714286,60.0,0.8571428571428571,1.2727272727272727,0.6666666666666666,1.5,14.625,1.0,0.7142857142857143,1.6666666666666667,67.72222222222223,87.09523809523809,33.95238095238095,124.14285714285714,83.73684210526315,99.25641025641028,67.94117647058823,103.68,9.857142857142858,125.32653061224492,87.27272727272727,67.1,0.12244897959183673,4.153846153846153
371,374,2012.0,20.0,508.0,371,3.0476190476190474,3.571428571428572,60.0,0.8571428571428571,1.2727272727272727,1.3333333333333333,2.0,112.5,0.8,0.6785714285714286,1.3333333333333333,66.44444444444444,82.66666666666667,33.95238095238095,126.4,83.73684210526315,99.25641025641028,75.70588235294117,102.4,11.571428571428573,128.9591836734694,94.0909090909091,71.45714285714286,0.1020408163265306,4.615384615384615
372,375,2012.0,21.0,416.0,372,2.8571428571428568,3.571428571428572,56.0,0.7142857142857143,1.0909090909090908,0.6666666666666666,1.0,25.875,0.8,0.9285714285714286,1.0,62.611111111111114,79.71428571428571,33.95238095238095,119.62857142857143,77.89473684210526,99.25641025641028,60.17647058823529,97.28,9.0,121.6938775510204,87.27272727272727,69.71428571428571,0.1020408163265306,4.615384615384615
373,376,2012.0,22.0,365.0,373,2.6666666666666665,3.571428571428572,54.0,0.7142857142857143,1.0909090909090908,0.6666666666666666,2.5,23.625,0.6,0.42857142857142855,1.0,61.33333333333334,78.23809523809524,33.95238095238095,121.88571428571429,74.0,105.33333333333331,62.11764705882353,96.0,8.142857142857142,119.87755102040815,77.72727272727273,64.48571428571428,0.1020408163265306,3.6923076923076934
374,377,2012.0,23.0,293.0,374,2.2857142857142856,3.571428571428572,54.0,0.7142857142857143,1.2727272727272727,0.6666666666666666,1.5,18.0,0.8,0.6428571428571429,1.0,60.05555555555557,85.61904761904762,33.95238095238095,124.14285714285714,79.84210526315789,101.28205128205127,66.0,101.12,8.571428571428571,121.6938775510204,66.81818181818181,59.25714285714286,0.1020408163265306,5.0769230769230775
375,378,2012.0,24.0,289.0,375,2.4761904761904763,3.571428571428572,50.0,0.7142857142857143,1.0909090909090908,0.6666666666666666,1.0,15.75,0.6,0.17857142857142858,0.6666666666666666,58.77777777777778,88.57142857142857,33.95238095238095,115.11428571428571,75.94736842105263,95.20512820512822,60.17647058823529,98.56,6.857142857142858,123.51020408163264,62.72727272727273,56.64285714285714,0.1020408163265306,4.153846153846153
376,379,2012.0,25.0,171.0,376,1.7142857142857142,2.8571428571428568,50.0,0.5714285714285714,1.0909090909090908,0.6666666666666666,3.5,18.0,0.4,0.21428571428571427,0.6666666666666666,52.38888888888889,81.19047619047619,32.476190476190474,135.42857142857142,74.0,91.15384615384615,52.411764705882355,93.44,6.428571428571429,121.6938775510204,60.0,54.9,0.08163265306122447,2.769230769230769
377,380,2012.0,26.0,152.0,377,1.9047619047619049,2.8571428571428568,50.0,0.5714285714285714,0.9090909090909092,0.6666666666666666,2.0,18.0,0.4,0.3928571428571429,0.6666666666666666,56.22222222222222,76.76190476190476,33.95238095238095,124.14285714285714,68.15789473684211,87.10256410256409,60.17647058823529,93.44,8.571428571428571,118.06122448979592,70.9090909090909,54.9,0.08163265306122447,1.8461538461538465
378,381,2012.0,27.0,93.0,378,1.5238095238095235,2.8571428571428568,46.0,0.7142857142857143,0.9090909090909092,0.6666666666666666,1.0,18.0,0.4,0.4642857142857143,0.6666666666666666,53.66666666666666,81.19047619047619,33.95238095238095,115.11428571428571,66.21052631578948,85.07692307692308,50.470588235294116,94.72,6.0,121.6938775510204,65.45454545454545,47.05714285714286,0.061224489795918366,3.6923076923076934
379,382,2012.0,28.0,94.0,379,1.5238095238095235,2.8571428571428568,48.0,0.5714285714285714,0.7272727272727273,0.6666666666666666,1.0,15.75,0.4,0.3928571428571429,0.6666666666666666,51.111111111111114,79.71428571428571,33.95238095238095,124.14285714285714,64.26315789473685,79.0,46.58823529411765,94.72,4.714285714285714,119.87755102040815,62.72727272727273,47.92857142857143,0.061224489795918366,2.769230769230769
380,383,2012.0,29.0,77.0,380,1.1428571428571428,2.142857142857143,44.0,0.5714285714285714,0.7272727272727273,0.6666666666666666,2.0,16.875,0.4,0.3928571428571429,0.3333333333333333,52.38888888888889,78.23809523809524,32.476190476190474,110.6,58.42105263157895,76.97435897435899,46.58823529411765,93.44,6.0,119.87755102040815,57.27272727272727,41.82857142857143,0.08163265306122447,3.2307692307692317
381,384,2012.0,30.0,105.0,381,1.3333333333333333,2.142857142857143,46.0,0.5714285714285714,0.7272727272727273,0.6666666666666666,2.0,14.625,0.2,0.3928571428571429,0.3333333333333333,49.83333333333334,78.23809523809524,32.476190476190474,112.85714285714286,60.368421052631575,74.94871794871794,44.647058823529406,93.44,4.714285714285714,116.24489795918369,51.81818181818182,41.82857142857143,0.061224489795918366,4.615384615384615
382,385,2012.0,31.0,205.0,382,1.3333333333333333,2.142857142857143,42.0,0.5714285714285714,0.7272727272727273,0.6666666666666666,1.5,15.75,0.2,0.17857142857142858,0.3333333333333333,52.38888888888889,76.76190476190476,32.476190476190474,110.6,58.42105263157895,76.97435897435899,42.70588235294117,96.0,7.7142857142857135,121.6938775510204,55.90909090909091,43.57142857142857,0.08163265306122447,2.3076923076923075
383,386,2012.0,32.0,173.0,383,1.5238095238095235,2.142857142857143,42.0,0.42857142857142855,0.7272727272727273,0.6666666666666666,1.0,15.75,0.4,0.5714285714285714,0.3333333333333333,48.55555555555557,75.28571428571429,33.95238095238095,117.37142857142857,58.42105263157895,97.23076923076924,44.647058823529406,93.44,5.571428571428571,116.24489795918369,53.18181818181818,45.31428571428572,0.061224489795918366,2.769230769230769
384,387,2012.0,33.0,168.0,384,1.3333333333333333,2.142857142857143,44.0,0.5714285714285714,0.9090909090909092,0.6666666666666666,2.0,16.875,0.2,0.32142857142857145,0.3333333333333333,48.55555555555557,75.28571428571429,32.476190476190474,106.08571428571429,64.26315789473685,93.17948717948721,42.70588235294117,90.88,4.285714285714286,123.51020408163264,53.18181818181818,44.44285714285714,0.08163265306122447,2.769230769230769
385,388,2012.0,34.0,113.0,385,1.3333333333333333,2.8571428571428568,46.0,0.7142857142857143,0.9090909090909092,1.3333333333333333,2.0,15.75,0.2,0.4642857142857143,0.3333333333333333,51.111111111111114,73.80952380952381,33.95238095238095,115.11428571428571,62.31578947368421,83.05128205128206,46.58823529411765,90.88,4.285714285714286,123.51020408163264,55.90909090909091,45.31428571428572,0.16326530612244894,2.769230769230769
386,389,2012.0,35.0,84.0,386,1.5238095238095235,2.8571428571428568,46.0,0.7142857142857143,1.0909090909090908,2.0,1.0,16.875,0.4,0.2857142857142857,0.3333333333333333,47.27777777777778,73.80952380952381,33.95238095238095,106.08571428571429,66.21052631578948,79.0,46.58823529411765,92.16,4.714285714285714,125.32653061224492,54.54545454545455,40.957142857142856,0.30612244897959184,1.8461538461538465
387,390,2012.0,36.0,89.0,387,1.7142857142857142,2.8571428571428568,48.0,0.7142857142857143,1.0909090909090908,2.6666666666666665,1.0,21.375,0.2,0.17857142857142858,0.3333333333333333,49.83333333333334,75.28571428571429,35.42857142857143,121.88571428571429,72.05263157894737,83.05128205128206,52.411764705882355,96.0,4.714285714285714,125.32653061224492,58.63636363636363,47.92857142857143,0.22448979591836726,3.6923076923076934
388,391,2012.0,37.0,73.0,388,2.095238095238096,3.571428571428572,56.0,0.8571428571428571,1.2727272727272727,4.0,2.5,20.25,0.2,0.6785714285714286,0.3333333333333333,49.83333333333334,78.23809523809524,35.42857142857143,124.14285714285714,83.73684210526315,87.10256410256409,52.411764705882355,98.56,6.857142857142858,123.51020408163264,60.0,47.92857142857143,0.1836734693877551,2.769230769230769
389,392,2012.0,38.0,108.0,389,2.095238095238096,4.285714285714286,58.0,1.0,1.4545454545454546,4.666666666666667,2.0,19.125,0.4,0.32142857142857145,0.3333333333333333,56.22222222222222,78.23809523809524,36.904761904761905,117.37142857142857,85.6842105263158,87.10256410256409,62.11764705882353,98.56,4.714285714285714,123.51020408163264,57.27272727272727,47.92857142857143,0.1836734693877551,3.2307692307692317
390,393,2012.0,39.0,131.0,390,2.4761904761904763,5.7142857142857135,68.0,1.1428571428571428,1.4545454545454546,6.666666666666668,2.5,18.0,0.4,0.32142857142857145,0.3333333333333333,61.33333333333334,81.19047619047619,33.95238095238095,119.62857142857143,101.26315789473685,95.20512820512822,69.88235294117646,98.56,6.0,127.14285714285714,60.0,55.771428571428565,0.14285714285714285,4.153846153846153
391,394,2012.0,40.0,171.0,391,3.0476190476190474,7.142857142857142,76.0,1.4285714285714286,1.6363636363636365,11.333333333333336,3.5,15.75,0.4,0.25,0.3333333333333333,63.88888888888889,81.19047619047619,35.42857142857143,115.11428571428571,103.21052631578951,101.28205128205127,75.70588235294117,102.4,7.7142857142857135,125.32653061224492,72.27272727272727,57.514285714285705,0.14285714285714285,4.153846153846153
392,395,2012.0,41.0,193.0,392,3.0476190476190474,8.571428571428571,84.0,1.7142857142857142,1.8181818181818181,14.666666666666664,2.5,19.125,0.4,0.4642857142857143,0.6666666666666666,75.3888888888889,81.19047619047619,36.904761904761905,108.34285714285713,109.05263157894736,103.30769230769228,81.52941176470588,103.68,17.571428571428573,128.9591836734694,72.27272727272727,55.771428571428565,0.12244897959183673,6.461538461538463
393,396,2012.0,42.0,305.0,393,3.4285714285714284,10.0,88.0,2.0,1.8181818181818181,18.666666666666668,4.0,18.0,0.4,0.2857142857142857,0.6666666666666666,75.3888888888889,82.66666666666667,36.904761904761905,124.14285714285714,109.05263157894736,105.33333333333331,91.23529411764706,101.12,8.142857142857142,132.59183673469386,65.45454545454545,58.38571428571429,0.12244897959183673,8.307692307692307
394,397,2012.0,43.0,348.0,394,3.8095238095238084,12.142857142857142,82.0,2.4285714285714284,2.0,23.33333333333333,5.0,18.0,0.6,0.4642857142857143,0.6666666666666666,75.3888888888889,81.19047619047619,36.904761904761905,119.62857142857143,95.42105263157896,109.3846153846154,83.47058823529412,101.12,9.428571428571429,127.14285714285714,65.45454545454545,55.771428571428565,0.1020408163265306,7.8461538461538485
395,398,2012.0,44.0,425.0,395,3.238095238095238,12.142857142857142,88.0,2.4285714285714284,2.1818181818181817,23.33333333333333,3.0,16.875,0.6,0.35714285714285715,1.0,80.5,79.71428571428571,33.95238095238095,119.62857142857143,89.57894736842104,109.3846153846154,91.23529411764706,97.28,10.285714285714286,121.6938775510204,70.9090909090909,56.64285714285714,0.1020408163265306,8.76923076923077
396,399,2012.0,45.0,629.0,396,3.4285714285714284,11.428571428571427,80.0,2.2857142857142856,2.363636363636364,20.666666666666668,3.5,22.5,0.8,0.35714285714285715,1.3333333333333333,76.66666666666667,84.14285714285714,35.42857142857143,115.11428571428571,93.47368421052632,109.3846153846154,87.35294117647058,99.84,10.714285714285714,128.9591836734694,65.45454545454545,58.38571428571429,0.1020408163265306,8.307692307692307
397,400,2012.0,46.0,898.0,397,3.4285714285714284,10.714285714285714,78.0,2.142857142857143,2.363636363636364,18.666666666666668,4.0,16.875,0.6,0.4642857142857143,1.0,76.66666666666667,79.71428571428571,35.42857142857143,121.88571428571429,93.47368421052632,111.41025641025641,89.29411764705883,102.4,9.0,123.51020408163264,64.0909090909091,55.771428571428565,0.12244897959183673,9.692307692307693
398,401,2012.0,47.0,1369.0,398,3.0476190476190474,9.285714285714286,84.0,1.8571428571428568,2.1818181818181817,13.333333333333336,4.5,13.5,0.8,0.6428571428571429,1.3333333333333333,76.66666666666667,76.76190476190476,32.476190476190474,112.85714285714286,91.52631578947368,105.33333333333331,85.41176470588233,93.44,7.7142857142857135,116.24489795918369,65.45454545454545,53.15714285714286,0.1020408163265306,8.307692307692307
399,402,2012.0,48.0,2089.0,399,3.619047619047618,8.571428571428571,86.0,1.8571428571428568,2.1818181818181817,12.0,3.5,18.0,1.0,0.5,1.6666666666666667,80.5,79.71428571428571,33.95238095238095,117.37142857142857,89.57894736842104,111.41025641025641,93.17647058823529,99.84,9.0,123.51020408163264,65.45454545454545,59.25714285714286,0.08163265306122447,7.8461538461538485
400,403,2012.0,49.0,3522.0,400,4.0,10.0,92.0,2.0,2.5454545454545454,12.0,4.0,18.0,1.6,0.6785714285714286,2.6666666666666665,84.33333333333333,84.14285714285714,35.42857142857143,128.65714285714284,93.47368421052632,174.20512820512818,108.70588235294115,110.08,10.285714285714286,125.32653061224492,75.0,62.74285714285714,0.1020408163265306,8.307692307692307
401,404,2012.0,50.0,4797.0,401,2.8571428571428568,8.571428571428571,88.0,1.8571428571428568,2.5454545454545454,8.0,5.5,13.5,2.2,0.5,3.6666666666666665,77.94444444444444,85.61904761904762,35.42857142857143,126.4,107.10526315789473,137.74358974358975,114.52941176470587,102.4,9.857142857142858,119.87755102040815,57.27272727272727,49.671428571428564,0.08163265306122447,10.615384615384617
402,405,2012.0,51.0,6331.0,402,4.571428571428571,10.714285714285714,108.0,2.2857142857142856,3.272727272727273,9.333333333333334,9.5,18.0,2.4,0.6428571428571429,4.0,90.72222222222223,88.57142857142857,35.42857142857143,146.71428571428572,109.05263157894736,133.69230769230768,112.58823529411764,108.8,14.571428571428573,121.6938775510204,75.0,64.48571428571428,0.1020408163265306,9.23076923076923
403,406,2012.0,52.0,6870.0,403,6.476190476190476,16.428571428571427,104.0,3.2857142857142856,4.545454545454546,16.0,12.0,18.0,4.2,0.8928571428571429,6.333333333333332,90.72222222222223,98.90476190476193,36.904761904761905,137.68571428571428,107.10526315789473,135.71794871794873,114.52941176470587,108.8,13.285714285714285,136.22448979591834,90.0,71.45714285714286,0.12244897959183673,13.384615384615385
