,index,YEAR,WEEK,Total Cases,index,influenza st,Influenza dis,Common Cold dis,flu st,flu symptoms st,Influenza Vaccine vacc,prevent flu st,Hand sanitizer topic,Oseltamivir med,Oseltamivir st,tamiflu st,pneumonia st,Fever medcond,tylenol st,chills st,Nasal Congestion syndrome,Cough topic,Cold medicine topic,Antibiotics drugtype,Antimicrobial resistance topic,Ibuprofen med,immunity st,Immunity topic,Swine influenza topic,flu medicine st
676,679,2018.0,12.0,5126.0,676,13.178571428571427,24.48051948051949,140.4,4.78021978021978,7.909090909090909,5.333333333333333,12.0,28.6875,13.5,17.523809523809526,21.71428571428571,118.48798798798798,135.6358543417367,55.8,256.4114285714286,159.085020242915,182.659977703456,134.86068111455108,146.64347826086956,14.68421052631579,197.3969965344629,100.81504702194357,88.45,0.051020408163265314,26.06477732793523
677,680,2018.0,13.0,4635.0,677,10.285714285714286,17.727272727272727,132.3,3.4615384615384612,5.454545454545454,3.733333333333333,10.5,26.775,9.5,12.952380952380953,15.38095238095238,103.36186186186184,127.41549953314659,56.83333333333334,252.8,159.085020242915,173.67670011148275,132.05108359133126,138.01739130434785,14.68421052631579,194.65537158259534,91.36363636363636,82.13214285714284,0.061224489795918366,22.542510121457486
678,681,2018.0,14.0,3469.0,678,8.678571428571429,14.35064935064935,121.5,2.8021978021978025,4.363636363636363,3.2,6.75,22.95,7.5,11.428571428571427,12.666666666666664,98.31981981981986,121.25023342670404,54.76666666666667,234.74285714285716,161.78137651821862,170.68227424749162,129.24148606811147,141.46782608695653,12.789473684210524,191.91374663072776,78.76175548589345,78.97321428571429,0.051020408163265314,17.61133603238866
679,682,2018.0,15.0,2818.0,679,7.7142857142857135,13.50649350649351,116.1,2.472527472527472,3.5454545454545454,2.6666666666666665,8.25,24.8625,6.0,12.571428571428573,9.952380952380953,93.27777777777777,117.14005602240896,55.8,245.57714285714283,159.085020242915,170.68227424749162,126.43188854489165,139.7426086956522,14.21052631578947,197.3969965344629,91.36363636363636,82.13214285714284,0.030612244897959183,16.906882591093115
680,683,2018.0,16.0,2019.0,680,8.678571428571429,12.662337662337661,110.7,2.472527472527472,3.5454545454545454,2.6666666666666665,6.75,22.95,6.5,9.523809523809524,9.952380952380953,93.27777777777777,119.19514472455649,57.86666666666667,256.4114285714286,153.69230769230768,164.69342251950943,123.62229102167177,144.91826086956522,13.26315789473684,208.36349634193297,85.06269592476491,74.23482142857142,0.040816326530612235,15.497975708502025
681,684,2018.0,17.0,1546.0,681,7.071428571428571,10.974025974025974,102.6,2.142857142857143,3.0,2.6666666666666665,4.5,22.95,4.5,9.523809523809524,7.238095238095237,90.75675675675676,113.02987861811391,54.76666666666667,252.8,145.60323886639677,158.70457079152732,123.62229102167177,144.91826086956522,18.94736842105263,200.1386214863304,88.21316614420063,80.55267857142857,0.040816326530612235,12.680161943319838
682,685,2018.0,18.0,1070.0,682,6.107142857142858,9.285714285714286,97.2,1.8131868131868127,2.4545454545454546,2.1333333333333333,6.0,24.8625,3.5,7.6190476190476195,5.428571428571428,83.1936936936937,108.91970121381884,53.73333333333333,231.13142857142861,132.1214574898785,146.72686733556299,101.14551083591331,138.01739130434785,17.526315789473678,189.17212167886024,97.66457680250784,83.71160714285716,0.040816326530612235,11.975708502024293
683,686,2018.0,19.0,658.0,683,5.142857142857143,7.597402597402597,94.5,1.4835164835164836,2.1818181818181817,2.1333333333333333,3.75,24.8625,2.5,6.476190476190476,3.619047619047618,83.1936936936937,104.8095238095238,53.73333333333333,216.68571428571425,132.1214574898785,143.73244147157192,103.95510835913313,136.29217391304346,15.157894736842106,194.65537158259534,91.36363636363636,85.29107142857143,0.040816326530612235,10.5668016194332
684,687,2018.0,20.0,412.0,684,4.821428571428571,6.753246753246755,86.4,1.4835164835164836,1.9090909090909087,1.6,3.75,21.0375,2.0,6.095238095238094,2.714285714285714,78.15165165165166,108.91970121381884,54.76666666666667,227.52,134.81781376518222,146.72686733556299,98.33591331269348,138.01739130434785,16.105263157894736,197.3969965344629,94.51410658307208,85.29107142857143,0.051020408163265314,11.271255060728743
685,688,2018.0,21.0,282.0,685,3.8571428571428568,5.909090909090909,83.7,1.3186813186813189,1.6363636363636365,2.1333333333333333,3.75,22.95,2.0,4.571428571428571,2.714285714285714,70.58858858858859,106.86461251167131,51.66666666666666,205.85142857142856,132.1214574898785,137.74358974358975,95.52631578947368,136.29217391304346,15.63157894736842,200.1386214863304,91.36363636363636,85.29107142857143,0.040816326530612235,9.157894736842106
