,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop
346,2011-10-30,3.428983333333333,9.285714639175257,84.00011493827121,1.8572125000000002,2.0000664948453606,14.00010714258382,2.99999946969867
347,2011-11-06,3.428983333333333,8.571428897700237,84.00011493827121,1.71435,2.0000664948453606,12.000091836500417,2.99999946969867
348,2011-11-13,3.428983333333333,7.857143156225218,88.00012041152222,1.71435,2.1818907216494843,10.000076530417013,5.499999027780895
349,2011-11-20,2.6669870370370368,6.4285716732751785,78.00010672839468,1.428625,1.818242268041237,6.666717686944676,2.99999946969867
350,2011-11-27,3.428983333333333,7.142857414750198,86.00011767489671,1.5714875000000001,2.1818907216494843,7.333389455639144,3.499999381315115
351,2011-12-04,3.0479851851851847,6.4285716732751785,88.00012041152222,1.428625,2.1818907216494843,6.000045918250208,4.499999204548005
352,2011-12-11,2.476487962962963,6.4285716732751785,92.00012588477323,1.428625,2.1818907216494843,5.333374149555741,4.499999204548005
353,2011-12-18,2.0954898148148144,5.714285931800159,96.00013135802425,1.5714875000000001,2.1818907216494843,4.000030612166805,3.9999992929315606
354,2011-12-25,1.7144916666666665,6.4285716732751785,108.00014777777727,1.5714875000000001,2.727363402061856,3.333358843472338,3.9999992929315606
355,2012-01-01,2.6669870370370368,6.4285716732751785,108.00014777777727,1.5714875000000001,2.5455391752577317,4.000030612166805,2.99999946969867
356,2012-01-08,2.6669870370370368,5.714285931800159,92.00012588477323,1.428625,2.1818907216494843,4.000030612166805,3.9999992929315606
357,2012-01-15,2.476487962962963,5.714285931800159,94.00012862139873,1.428625,2.1818907216494843,3.333358843472338,4.499999204548005
358,2012-01-22,3.0479851851851847,5.714285931800159,90.00012314814772,1.428625,2.1818907216494843,3.333358843472338,2.99999946969867
359,2012-01-29,3.428983333333333,5.714285931800159,92.00012588477323,1.428625,2.1818907216494843,2.6666870747778706,3.9999992929315606
360,2012-02-05,3.809981481481481,5.714285931800159,92.00012588477323,1.2857625000000001,2.363714948453608,2.0000153060834025,3.499999381315115
361,2012-02-12,4.190979629629629,7.142857414750198,96.00013135802425,1.5714875000000001,2.5455391752577317,2.0000153060834025,4.99999911616445
362,2012-02-19,4.190979629629629,7.142857414750198,94.00012862139873,1.5714875000000001,2.5455391752577317,2.0000153060834025,3.499999381315115
363,2012-02-26,4.381478703703704,7.142857414750198,88.00012041152222,1.5714875000000001,2.363714948453608,2.0000153060834025,4.99999911616445
364,2012-03-04,4.952975925925926,7.142857414750198,84.00011493827121,1.428625,2.5455391752577317,2.0000153060834025,4.499999204548005
365,2012-03-11,4.762476851851852,6.4285716732751785,76.00010399176918,1.428625,2.363714948453608,2.0000153060834025,3.499999381315115
366,2012-03-18,4.000480555555555,5.714285931800159,64.00008757201616,1.1429,2.0000664948453606,2.0000153060834025,2.99999946969867
367,2012-03-25,4.000480555555555,5.00000019032514,62.000084835390645,1.0000375,1.6364180412371134,1.3333435373889353,1.9999996464657803
368,2012-04-01,3.0479851851851847,5.00000019032514,62.000084835390645,1.0000375,1.4545938144329895,0.6666717686944676,1.9999996464657803
